Tibetan,English
སེམས་ཀྱི་གླང་ཆེན་མྱོས་པ་ནི། །ཆོས་ལ་སེམས་པའི་ཀ་ཆེན་ལ། །ཇི་ལྟར་བཏགས་པ་མི་འཆོར་བར། །དེ་ལྟར་འབད་པ་ཀུན་གྱིས་བརྟག །,"tags:<br><br><t><br>The intoxicated elephant of the mind<br>Should be firmly tethered<br>To the great pillar of contemplating the Dharma,<br>So it does not break loose.<br>Thus, strive with all your effort."
ཅི་ནས་ཏིང་འཛིན་བརྩོན་པ་ནི། །སྐད་ཅིག་གཅིག་ཀྱང་མི་འཆོར་བར། །བདག་གི་ཡིད་འདི་གར་སྤྱོད་ཅེས། །དེ་ལྟར་ཡིད་ལ་སོ་སོར་བརྟག །,"tags:<br><br><t><br>In order that meditative concentration may be diligent,<br>Not letting even a single moment slip away,<br>I will examine my mind repeatedly, asking:<br>""Where is my mind wandering now?"""
འཇིགས་དང་དགའ་སྟོན་སོགས་འབྲེལ་བར། །གལ་ཏེ་མི་ནུས་ཅི་བདེར་བྱ། །,"If one is unable to relate to fear, celebration, and so on,<br>Do whatever brings ease."
འདི་ལྟར་སྦྱིན་པའི་དུས་དག་ཏུ། །ཚུལ་ཁྲིམས་བཏང་སྙོམས་བྱ་བར་གསུངས། །,"Thus, at the times of giving,<br>It is taught to practice morality with equanimity."
གང་ཞིག་བསམས་ཏེ་བྱར་བརྩམས་པ། །དེ་ལས་གཞན་དུ་མི་བསམ་སྟེ། །,"Whatever one has decided to do,<br>One should not think of anything else."
དེར་གཏད་པ་ཡི་བསམ་པ་ཡིས། །དེ་ཉིད་རེ་ཞིག་བསྒྲུབ་པར་བྱ། །,"With focused intention and mindfulness,<br>One should practice that very thing for a while."
དེ་ལྟ་ན་ནི་ཀུན་ལེགས་བྱས། །,"Thus, all is well done."
གཞན་དུ་གཉིས་ཀར་མི་འགྱུར་རོ། །,"Otherwise, it will not become both."
ཤེས་བཞིན་མ་ཡིན་ཉེ་ཉོན་མོངས། །དེ་ལྟ་ན་ནི་འཕེལ་མི་འགྱུར། །,"Without mindfulness, afflictive emotions<br>Will not increase in this way."
བྲེ་མོའི་གཏམ་ནི་སྣ་ཚོགས་དང་། །ངོ་མཚར་ལྟད་མོ་རྣམ་མང་པོ། །ཀུན་ལ་འཇུག་པར་གྱུར་པ་ན། །དེ་ལ་ཆགས་པ་སྤང་བར་བྱ། །,"When engaging in various idle chatter,<br>And many wondrous spectacles,<br>As one becomes involved in all of these,<br>One should abandon attachment to them."
དོན་མེད་ས་རྐོ་རྩྭ་གཅོད་དང་། །ས་རིས་འདྲི་སོགས་བྱེད་གྱུར་ན། །བདེ་གཤེགས་བསླབ་པ་དྲན་བྱས་ནས། །སྐྲག་པས་དེ་ཡི་མོད་ལ་དོར། །,"If one engages in pointless activities like digging the earth, cutting grass,<br>Or drawing on the ground and so forth,<br>Remembering the precepts of the Tathagata (Buddha),<br>One should immediately abandon such acts out of fear."
གང་ཚེ་བསྐྱོད་པར་འདོད་གྱུར་ཏམ། །སྨྲ་བར་འདོད་པར་གྱུར་ན་ཡང་། །དང་པོར་རང་གི་སེམས་བརྟགས་ནས། །བརྟན་པས་རིག་པ་ལྡན་པར་བྱ། །,"When you wish to move,<br>Or when you desire to speak,<br>First examine your own mind,<br>Then act with steadiness and awareness."
གང་ཚེ་རང་ཡིད་ཆགས་པ་དང་། །ཁྲོ་བར་འདོད་པ་དེ་ཡི་ཚེ། །ལས་སུ་མི་བྱ་,"tags:<br><br><t><br>When one's own mind desires attachment and anger,<br>At that time, one should not act."
སྨྲ་མི་བྱ། །,Do not speak.
ཤིང་བཞིན་དུ་ནི་གནས་པར་བྱ། །,Remain still like a tree.
རྒོད་དང་ག་ཞར་བཅས་པའམ། །གལ་ཏེ་ང་རྒྱལ་རྒྱགས་ལྡན་པའམ། །མཚང་འབྲུ་བ་ཡི་བསམ་པ་དང་། །གལ་ཏེ་སྐྱོར་འབྱིན་སླུ་སེམས་སམ། །གང་ཚེ་བདག་བསྟོད་ལྷུར་ལེན་པའམ། །གཞན་ལ་སྨོད་པ་ཉིད་དང་ནི། །གཤེ་བཅས་འགྱོད་དང་བཅས་གྱུར་པ། །དེ་ཚེ་ཤིང་བཞིན་གནས་པར་བྱ། །,"tags:<br><br><t><br>When faced with laughter and mockery,<br>Or if filled with pride and arrogance,<br>Or with thoughts of exposing others' faults,<br>Or if intending to deceive or mislead,<br>When inclined to praise oneself,<br>Or to criticize and disparage others,<br>Along with harsh words and regret,<br>At such times, remain still like a tree."
རྙེད་དང་བཀུར་སྟི་གྲགས་འདོད་པའམ། །གཡོག་འཁོར་དོན་དུ་གཉེར་འདོད་པའམ། །བདག་སེམས་རིམ་གྲོ་འདོད་གྱུར་ན། །དེ་ཚེ་ཤིང་བཞིན་གནས་པར་བྱ། །,"If one desires gain, honor, and fame,<br>Or wishes to acquire servants and attendants,<br>Or if one's mind longs for respect and reverence,<br>At that time, one should remain still like a tree."
གཞན་དོན་ཡལ་བར་འདོར་བ་དང་། །རང་དོན་གཉེར་བར་འདོད་པ་དང་། །སྨྲ་བར་འདོད་པའི་སེམས་བྱུང་ན། །དེས་ནི་ཤིང་བཞིན་གནས་པར་བྱ། །,"When the mind arises that wishes to:<br>Abandon the welfare of others,<br>Pursue one's own interests,<br>Or speak unnecessarily,<br>At that time, one should remain still like a tree."
མི་བཟོད་ལེ་ལོ་འཇིགས་པ་དང་། །དེ་བཞིན་སྤྱི་རྟོལ་མུ་ཅོར་དང་། །རང་གི་ཕྱོགས་ཞེན་སེམས་བྱུང་ན། །དེ་ཚེ་ཤིང་བཞིན་གནས་པར་བྱ། །,"When impatience, laziness, and fear arise,<br>As well as recklessness, idle chatter,<br>And attachment to one's own side,<br>At that time, remain still like a tree."
དེ་ལྟར་ཀུན་ནས་ཉོན་མོངས་དང་། །དོན་མེད་བརྩོན་པའི་ཡིད་བརྟགས་ནས། །དེ་ཚེ་དཔའ་བོས་གཉེན་པོ་ཡིས། །དེ་ནི་བརྟན་པོར་གཟུང་བར་བྱ། །,"Thus, having examined the afflicted and purposeless striving mind,<br>At that time, the hero should firmly grasp it<br>Through the antidote."
ཤིན་ཏུ་ངེས་དང་རབ་དད་དང་། །བརྟན་དང་གུས་དང་ཞེ་སར་བཅས། །ངོ་ཚ་ཤེས་དང་འཇིགས་བཅས་དང་། །ཞི་ཞིང་གཞན་དགའ་བྱེད་ལ་བརྩོན། །,"With utmost certainty and deep faith,<br>Steadfast, respectful, and courteous,<br>Possessing modesty and a sense of shame,<br>Peaceful and striving to bring joy to others."
ཕན་ཚུན་མི་མཐུན་བྱིས་པ་ཡི། །འདོད་པ་རྣམས་ཀྱིས་མི་སྐྱོ་ཞིང་། །ཉོན་མོངས་སྐྱེས་པ་འདི་དག་གི །སེམས་འདི་བྱུང་སྙམ་བརྩེར་ལྡན་དང་། །ཁ་ན་མ་ཐོ་མེད་དངོས་ལ། །བདག་དང་སེམས་ཅན་དབང་བྱས་ཤིང་། །སྤྲུལ་པ་བཞིན་དུ་ང་མེད་པར། །ཡིད་འདི་རྟག་ཏུ་གཟུང་བར་བྱ། །,"Not weary of the conflicting desires<br>Of childish beings at odds with each other,<br>When afflictions arise in them,<br>Think ""This mind has arisen"" with compassion.<br>Toward blameless phenomena,<br>Controlled by self and sentient beings,<br>Like an illusion, without ego,<br>Always hold this mind."
རིང་ཞིག་ལོན་ནས་དལ་བའི་མཆོག །ཐོབ་པ་ཡང་དང་ཡང་བསམས་ནས། །སེམས་དེ་ལྟ་བུར་རི་རབ་ལྟར། །རབ་ཏུ་མི་གཡོ་གཟུང་བར་བྱ། །,"After a long time, having obtained this supreme leisure,<br>Contemplating it again and again,<br>One should hold the mind steady and unmoved,<br>Like Mount Meru, in this way."
བྱ་རྒོད་ཤ་ལ་ཆགས་པ་ཡིས། །ཕན་ཚུན་ཀུན་དུ་བཤལ་ཁྲིད་ཀྱང་། །ཡིད་ཁྱོད་མི་དགར་མི་བྱེད་ན། །ད་ལྟ་ཅི་ཕྱིར་ཁ་ཏ་བྱེད། །,"Though vultures, attached to flesh,<br>May drag each other everywhere,<br>If your mind does not become displeased,<br>Why do you now give advice?"
ལུས་འདི་བདག་གིར་གཟུང་བྱས་ནས། །ཡིད་ཁྱོད་ཅི་ཕྱིར་སྲུང་བར་བྱེད། །,"Having grasped this body as one's own,<br>Why, O mind, do you protect it?"
ཁྱོད་དང་འདི་གཉིས་སོ་སོ་ན། །དེས་ཀོ་ཁྱོད་ལ་ཅི་ཞིག་བྱ། །,"When you and this are separate,<br>What can it do to you?"
རྨོངས་པའི་ཡིད་ཁྱོད་ཅི་ཡི་ཕྱིར། །ཤིང་གཟུགས་གཙང་མ་གཟུང་མི་བྱེད། །,"O deluded mind, why do you not grasp<br>The pure form of the wooden image?"
མི་གཙང་ཚོགས་ཀྱི་འཁྲུལ་འཁོར་འདི། །རུལ་བ་བསྲུངས་ཏེ་ཅི་ཞིག་རུང་། །,"This machine of impure aggregates,<br>What use is there in guarding this decaying thing?"
ཐོག་མར་པགས་པའི་རིམ་པ་འདི། །རང་གི་བློ་ཡིས་ཐ་དད་ཕྱེ། །,"First, this layer of skin,<br>By one's own mind, is separated as distinct."
ཤ་ཡང་རུས་པའི་དྲ་བ་ལས། །ཤེས་རབ་མཚོན་གྱིས་གུད་དུ་ཕྱེ། །,"From the web of flesh and bone,<br>Separate with the sword of wisdom."
རུས་པ་རྣམས་ཀྱང་དབྱེ་བྱས་ནས། །རྐང་གི་བར་དུ་བལྟ་བྱ་ཞིང་། །,"Even the bones should be separated,<br>And examined down to the marrow."
འདི་ལ་སྙིང་པོ་ཅི་ཡོད་ཅེས། །བདག་ཉིད་ཀྱིས་ནི་བརྟག་པར་གྱིས། །,What essence is there in this?<br>Examine it yourself thoroughly.
དེ་ལྟར་འབད་དེ་བཙལ་ཀྱང་དེར། །ཁྱོད་ཀྱིས་སྙིང་པོ་མ་མཐོང་ན། །ད་དུང་ཅི་ཕྱིར་ཆགས་ཚུལ་གྱིས། །ཁྱོད་ནི་ལུས་འདི་སྲུང་བར་བྱེད། །,"Though you have searched diligently,<br>If you have not seen its essence,<br>Why do you still, with attachment,<br>Protect this body?"
ཁྱོད་ཀྱིས་མི་གཙང་བཟར་མི་རུང་། །ཁྲག་ཀྱང་བཏུང་དུ་མི་རུང་ལ། །རྒྱུ་ལྟོའང་གཞིབ་ཏུ་མི་རུང་ན། །ལུས་ཀྱིས་ཁྱོད་ལ་ཅི་ཞིག་བྱ། །,You should not eat impure things.<br>You should not drink blood.<br>You should not even examine intestines.<br>So what use is this body to you?
ཉིས་ན་ཝ་དང་བྱ་རྒོད་ཀྱིས། །ཟས་ཀྱི་དོན་དུ་འདི་བསྲུང་རིགས། ,"At night, the fox and vulture<br>Should guard this for the sake of food."
མི་འོ་ཅོག་གི་ལུས་འདི་ནི། །བཀོལ་བར་བྱ་བ་ཉིད་དུ་ཟད། །,This human body of ours<br>Is merely a vessel to be used.
འདི་ལྟར་ཁྱོད་ཀྱིས་བསྲུངས་ཀྱང་ནི། །འཆི་བདག་བརྩེ་བ་མེད་པ་ཡིས། །ཕྲོགས་ཏེ་བྱ་དང་ཁྱིར་བྱིན་ན། །དེ་ཚེ་ཁྱོད་ཀྱིས་ཅི་བྱར་ཡོད། །,"Though you may guard it so,<br>The merciless Lord of Death<br>Will snatch it away and give it to birds and dogs.<br>At that time, what can you do?"
བྲན་གཡོག་བཀོལ་དུ་མི་བཏུབ་ལའང་། །གོས་ལ་སོགས་པ་མི་སྦྱིན་ན། །ལུས་འདི་བསྙོད་ཀྱང་གཞན་འགྲོ་ན། །ཁྱོད་ཀོ་ཅི་སྟེ་ཤ་ཐང་གསོ། །,"Even if servants cannot be employed,<br>If clothing and such are not given,<br>When this body, though cherished, goes elsewhere,<br>Why do you exhaust yourself so?"
འདི་ལ་གླ་རྔན་བྱིན་ནས་ནི། །ད་ནི་རང་གི་དོན་བྱེད་ཆུག །,"Having given this payment,<br>Now let them do their own work."
ཕན་པ་མེད་པར་འདི་ལ་ནི། །ཐམས་ཅད་སྦྱིན་པར་མི་བྱའོ། །,"Without benefit, one should not give everything away."
འགྲོ་དང་འོང་བའི་རྟེན་ཙམ་དུ། །ལུས་ལ་གྲུ་ཡི་བློ་བཞག་སྟེ། །,"Viewing the body merely as a vessel,<br>Like a boat for coming and going."
སེམས་ཅན་རྣམས་དོན་བསྒྲུབ་པའི་ཕྱིར། །ཡིད་བཞིན་གྱི་ནི་ལུས་སུ་བསྒྱུར། །,"For the sake of accomplishing the welfare of sentient beings,<br>May I transform into a wish-fulfilling body."
དེ་ལྟར་རང་དབང་ཡོད་ཀྱིས་,"Thus, with freedom"
དེ། །རྟག་ཏུ་འཛུམ་པའི་བཞིན་དུ་གྱིས། །,Always maintain a smiling countenance.
ཁྲོ་གཉེར་ངོ་ཟུམ་ཡོངས་ཐོང་སྟེ། །,"Release all frowns, scowls, and gloomy expressions."
འགྲོ་བའི་བཤེས་དང་གསོང་པོར་གྱིས། །,Be an honest friend to all beings.
ཁྲི་ལ་སོགས་པ་བབ་ཅོལ་དུ། །སྒྲ་དང་བཅས་པར་མི་དོར་རོ། །,One should not carelessly throw down chairs and such<br>With a loud noise.
སྒོ་ཡང་དྲག་ཏུ་མི་དབྱེ་སྟེ། །,Do not open the door too forcefully.
རྟག་ཏུ་གཅོམ་བསྐྱུངས་དགའ་བར་བྱ། །,Always rejoice in humility.
ཆུ་སྐྱར་བྱི་ལ་ཆོམ་རྐུན་དག །སྒྲ་མེད་འཇབ་ཅིང་འགྲོ་བ་ཡིས། །མངོན་པར་འདོད་པའི་དོན་སྒྲུབ་པ། །ཐུབ་པས་རྟག་ཏུ་དེ་བཞིན་སྤྱད། །,"Like an otter, a cat, or a thief,<br>Moving silently and stealthily,<br>To accomplish one's desired aim -<br>The sage should always act in this way."
གཞན་ལ་གཞེན་བསྐུལ་འདེབས་མཁས་ཤིང་། །མ་བཅོལ་ཕན་པ་བྱེད་པའི་ངག །གུས་པས་སྤྱི་བོས་བླང་གྱིས་ཏེ། །,"Skilled in exhorting others,<br>Speech that brings benefit without being asked,<br>Should be respectfully received with the crown of one's head."
རྟག་ཏུ་ཀུན་གྱི་སློབ་མར་གྱུར། །,Always be a student of everyone.
ལེགས་པར་སྨྲས་པ་ཐམས་ཅད་ལ། །དགེ་བར་གསུངས་ཞེས་བརྗོད་པར་བྱ། །,"For all that is well-spoken,<br>One should say, ""This is virtuous speech."""
བསོད་ནམས་བྱེད་པ་མཐོང་གྱུར་ན། །བསྟོད་པས་ལེགས་པར་དགའ་བ་བསྐྱེད། །,"When you see someone performing virtuous deeds,<br>Praise them sincerely and generate joy."
ལྐོག་ན་ཡོན་ཏན་བརྗོད་བྱ་ཞིང་། །ཡོན་ཏན་བརྗོད་ན་རྗེས་སུ་བརྗོད། །,"Speak of virtues in their absence,<br>And when virtues are spoken of, repeat them in agreement."
རང་གི་ཡོན་ཏན་བརྗོད་ན་དེ། །ཡོན་ཏན་ཤེས་པར་རིག་པར་བྱ། །,"If one speaks of one's own qualities,<br>Know that this is understood as a virtue."
རྩོམ་པ་ཐམས་ཅད་དགའ་ཕྱིར་ཏེ། །,All endeavors are for the sake of joy.
དེ་ནི་རིན་གྱིས་ཉོ་ནའང་དཀོན། །,That is rare even if bought with a price.
དེ་ལྟས་གཞན་བྱས་ཡོན་ཏན་གྱིས། །དགའ་བའི་བདེ་བ་སྤྱད་པར་བྱ། །,"Therefore, through the virtues created by others,<br>One should experience the joy of happiness."
བདག་ལ་འདིར་གོད་ཡོང་མེད་ལ། །ཕ་རོལ་དུ་ཡང་བདེ་བ་ཆེ། །,"I have no misfortune here,<br>And in the hereafter, great happiness awaits."
ཉེས་པས་མི་དགའ་སྡུག་བསྔལ་ཞིང་། །ཕ་རོལ་དུ་ཡང་སྡུག་བསྔལ་ཆེ། །,"Through wrongdoing, one becomes unhappy and suffers.<br>And in the hereafter, there is even greater suffering."
སྨྲ་ན་ཡིད་ཕེབས་འབྲེལ་པ་དང་། །དོན་གསལ་ཡིད་དུ་འོང་བ་དང་། །ཆགས་དང་ཞེ་སྡང་སྤངས་པ་དང་། །འཇམ་ཞིང་རན་པར་སྨྲ་བར་བྱ། །,"When speaking, be relaxed and coherent,<br>Clear in meaning and pleasing to the mind.<br>Free from attachment and aversion,<br>Speak gently and in moderation."
མིག་གིས་སེམས་ཅན་ལྟ་ན་ཡང་། །འདི་དག་ཉིད་ལ་བརྟེན་ནས་བདག །སངས་རྒྱས་ཉིད་དུ་འགྱུར་རོ་ཞེས། །དྲང་ཞིང་བྱམས་པའི་ཚུལ་གྱིས་བལྟ། །,"Even when looking at sentient beings with the eyes,<br>Relying on these very beings,<br>I will become a Buddha myself, thus<br>Look with honesty and loving-kindness."
རྟག་པར་མངོན་ཞེན་གྱིས་བསླང་བའམ། །གཉེན་པོ་ཡིས་ནི་བསླང་བ་ཉིད། །ཡོན་ཏན་དང་ནི་ཕན་འདོགས་ཞིང་། །སྡུག་བསྔལ་བ་ལ་དགེ་ཆེན་འགྱུར། །,"Whether arising from constant attachment,<br>Or stirred by its antidote,<br>Benefiting others and cultivating virtues<br>Becomes a great virtue for those who suffer."
མཁས་ཤིང་ལྡང་དང་ལྡན་བྱས་ནས། །ལས་རྣམས་བདག་གིས་རྟག་ཏུ་བྱ། །,"Having become wise and diligent,<br>I shall always perform all actions myself."
ལས་རྣམས་ཀུན་ལ་སུ་ལ་ཡང་། །ལྟོས་པར་བྱ་བ་མ་ཡིན་ནོ། །,"For all actions, one should not depend on anyone else."
སྦྱིན་པའི་ཕ་རོལ་ཕྱིན་ལ་སོགས། །གོང་ནས་གོང་དུ་ཁྱད་ཞུགས་སྤྱད། །,"Practice the perfection of generosity and the others,<br>Progressing higher and higher in excellence."
ཆུང་ངུའི་ཕྱིར་ནི་ཆེ་མི་གཏང་། །,Do not give up something great for the sake of something small.
གཙོ་ཆེར་གཞན་གྱི་དོན་བསམ་མོ། །,"Primarily, consider the welfare of others."
དེ་ལྟར་རིག་བྱས་གཞན་དོན་ལ། །རྟག་ཏུ་བརྩོན་པར་གནས་པར་བྱ། །,"Having understood thus, one should always<br>Remain diligent in benefiting others."
ཐུགས་རྗེ་མངའ་བ་རིང་གཟིགས་པས། །བཀག་པ་རྣམས་ཀྱང་དེ་ལ་གནང་། །,"Through the far-reaching vision of one who possesses compassion,<br>Even those things which were forbidden are permitted for that purpose."
ལོག་པར་ལྟུང་དང་མགོན་མེད་དང་། །བརྟུལ་ཞུགས་གནས་ལ་བགོ་བྱ་ཞིང་། །,"Share with those who have fallen into wrong views,<br>Those without protectors,<br>And those abiding in spiritual disciplines."
རན་པ་ཙམ་དུ་བཟའ་བྱ་སྟེ། །,Eat in moderation.
ཆོས་གོས་གསུམ་མ་གཏོགས་པ་སྦྱིན། །,Give everything except the three robes.
དམ་པའི་ཆོས་ནི་སྤྱོད་པའི་ལུས། །ཕྲན་ཚེགས་ཆེད་དུ་གནོད་མི་བྱ། །,The sacred Dharma is the body of practice.<br>Do not harm it for trivial reasons.
དེ་ལྟར་བྱས་ན་སེམས་ཅན་གྱི། །བསམ་པ་མྱུར་དུ་རྫོགས་པར་འགྱུར། །,"By doing so, the wishes of sentient beings<br>Will be quickly fulfilled."
སྙིང་རྗེའི་བསམ་པ་མ་དག་པར། །ལུས་འདི་གཏང་བར་མི་བྱ་སྟེ། །,"Without pure compassionate intention,<br>One should not give up this body."
ཅི་ནས་འདི་དང་གཞན་དུ་ཡང་། །དོན་ཆེན་སྒྲུབ་པའི་རྒྱུར་གཏང་ངོ་། །,"In this life and in others to come,<br>May this be given as a cause for accomplishing great purpose."
མ་གུས་པ་ལ་ཆོས་མི་བཤད། །,Do not teach the Dharma to those who are disrespectful.
མི་ན་བཞིན་དུ་མགོ་དཀྲིས་དང་། །གདུགས་དང་འཁར་བ་མཚོན་ཐོགས་དང་། །མགོ་བོ་གཡོགས་པ་དག་ལ་མིན། །,"Not for those who, though not ill:<br>Wrap their heads, carry parasols,<br>Hold staffs or weapons,<br>Or cover their heads."
དམན་ལ་ཟབ་དང་རྒྱ་ཆེ་དང་། །སྐྱེས་པ་མེད་པར་བུད་མེད་མིན། །,"Humble yet profound and vast,<br>Neither man nor woman, for there is no birth."
དམན་དང་མཆོག་གི་ཆོས་རྣམས་ལ། །མཚུངས་པར་གུས་པས་ཀུན་དུ་སྤྱད། །,"Toward all dharmas, both lowly and supreme,<br>Practice with equal reverence in all ways."
རྒྱ་ཆེན་ཆོས་ཀྱི་སྣོད་གྱུར་པ། །དམན་པའི་ཆོས་ལ་སྦྱར་མི་བྱ། །,One who has become a vessel for the vast Dharma<br>Should not engage in inferior teachings.
སྤྱོད་པ་ཡོངས་སུ་དོར་མི་བྱ། །,Do not completely abandon your conduct.
མདོ་དང་སྔགས་ཀྱིས་འདྲིད་མི་བྱ། །,Do not be led astray by sutras and mantras.
སོ་ཤིང་དང་ནི་མཆིལ་མ་དག །དོར་བ་ན་ནི་དགབ་པར་བྱ། །,"When discarding toothsticks and spittle,<br>One should cover them."
གཅི་ལ་སོགས་པའང་ལོངས་སྤྱོད་པའི། །ཆུ་དང་ཐང་ལ་དོར་བ་སྨད། །,Discarding urine and other bodily waste<br>In water or on dry land for enjoyment<br>Is condemned.
ཁ་བཀང་བ་དང་སྒྲ་བཅས་དང་། །ཁ་གདངས་ནས་ནི་བཟའ་མི་བྱ། །,"Do not eat with a full mouth, making noise,<br>Or with your mouth wide open."
རྐང་པ་བརྐྱང་སྟེ་མི་འདུག་ཅིང་། །,Do not sit with legs stretched out.
ལག་པ་མཉམ་པར་མི་མཉེའོ། །,Do not rub your hands together idly.
བཞོན་པ་མལ་སྟན་གནས་དག་ཏུ། །བུད་མེད་གཞན་དང་གཅིག་མི་བྱ། །,"In vehicles, beds, seats, and dwellings,<br>Do not be alone with another's wife."
འཇིག་རྟེན་མ་དད་གྱུར་པ་ཀུན། །མཐོང་དང་དྲིས་ཏེ་སྤང་བར་བྱ། །,All those in the world who have lost faith<br>Should be abandoned after seeing and questioning.
སོར་མོས་བརྡ་ནི་མི་བྱ་སྟེ། །,Do not make gestures with your fingers.
གུས་དང་བཅས་པས་གཡས་པ་ཡི། །ལག་པ་དག་ནི་ཀུན་གྱིས་ཀྱང་། །ལམ་ཡང་དེ་ལྟར་བསྟན་པར་བྱ། །,"With respect, everyone should<br>Use their right hand<br>To point out the way."
ལག་པ་ཤས་ཆེར་བསྐྱོད་མིན་ཏེ། །,Do not move your hands excessively.
ཅུང་ཟད་བསྐྱོད་ལ་སྒྲ་བསྒྲགས་པ། །སེ་གོལ་ལ་སོགས་བརྡ་བྱས་ཏེ། །གཞན་དུ་མ་བསྡམས་པར་འགྱུར་རོ། །,"Move slightly and make a sound,<br>Give signals like snapping fingers and so on.<br>Otherwise, it will become unrestrained."
མགོན་པོ་མྱ་ངན་འདས་གཟིམས་ལྟར། །འདོད་པའི་ཕྱོགས་སུ་ཉལ་བར་བྱ། །,"Like the Protector who passed into nirvana,<br>One should lie down facing the desired direction."
ཤེས་བཞིན་མྱུར་དུ་ལྡང་སེམས་ལ། །ཐོག་མ་ཉིད་དུ་ངེས་པར་སྦྱར། །,"Swiftly arise with mindfulness,<br>And from the very beginning, apply it diligently to the mind."
བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་དག །ཚད་མེད་པར་ནི་གསུངས་པ་ལས། །སེམས་སྦྱང་བ་ཡི་སྤྱོད་པ་ནི། །ངེས་པར་དེ་སྲིད་སྤྱད་པར་བྱ། །,"From the boundless practices of bodhisattvas that have been taught,<br>The practices for training the mind<br>Should certainly be engaged in for that duration."
ཉིན་དང་མཚན་མོ་ལན་གསུམ་དུ། །ཕུང་པོ་གསུམ་པ་གདོན་བྱ་ཞིང་། །,"Three times during day and night,<br>One should recite the Three Heaps (Confession)."
རྒྱལ་དང་བྱང་ཆུབ་སེམས་བརྟེན་པས། །ལྟུང་བའི་ལྷག་མ་དེས་ཞི་བྱ། །,"By relying on the Victor and the bodhicitta,<br>The remainder of downfalls will be pacified."
རང་ངམ་གཞན་གྱི་དབང་ཡང་རུང་། །གནས་སྐབས་གང་དུ་ཅི་སྤྱོད་ཀྱང་། །བསླབ་པར་གསུངས་པ་གང་ཡིན་པའི། །གནས་སྐབས་དེ་ལ་འབད་དེ་བསླབ། །,"Whether by one's own power or another's,<br>Whatever circumstances one may engage in,<br>Whatever training has been taught,<br>Strive diligently to train in those circumstances."
རྒྱལ་སྲས་རྣམས་ཀྱིས་མི་བསླབ་པ། །དེ་ནི་གང་ཡང་ཡོད་མིན་ཏེ། །,There is nothing that the children of the Victorious Ones (bodhisattvas) do not train in.
དེ་ལྟར་གནས་པའི་མཁས་པ་ལ། །བསོད་ནམས་མི་འགྱུར་གང་ཡང་མེད། །,"For the wise one who abides thus,<br>There is nothing that does not become merit."
དངོས་སམ་ཡང་ན་བརྒྱུད་ཀྱང་རུང་། །སེམས་ཅན་དོན་ལས་གཞན་མི་སྤྱད། །,"Whether directly or indirectly,<br>Practice nothing other than benefiting sentient beings."
སེམས་ཅན་ཁོ་ནའི་དོན་གྱི་ཕྱིར། །ཐམས་ཅད་བྱང་ཆུབ་ཕྱིར་བསྔོའོ། །,"For the sake of sentient beings alone,<br>I dedicate all [merit] for the purpose of enlightenment."
རྟག་པར་དགེ་བའི་བཤེས་གཉེན་ནི། །ཐེག་ཆེན་དོན་ལ་མཁས་པ་དང་། །བྱང་ཆུབ་སེམས་དཔའི་བརྟུལ་ཞུགས་མཆོག །སྲོག་གི་ཕྱིར་ཡང་མི་བཏང་ངོ་། །,"Always seek a spiritual friend<br>Who is learned in the meaning of the Great Vehicle,<br>And supreme in the conduct of bodhisattvas.<br>Do not abandon them even at the cost of your life."
དཔལ་འབྱུང་བ་ཡི་རྣམ་ཐར་ལས། །བླ་མ་བསྟེན་པའི་ཚུལ་ལྟར་བསླབ། །,"From the biography of Glorious Sambhava,<br>Learn the method of relying on the guru."
འདི་དང་སངས་རྒྱས་བཀའ་སྩལ་གཞན། །མདོ་སྡེ་བཀླགས་ནས་ཤེས་པར་བྱ། །,This and other teachings given by the Buddha<br>Should be understood by reading the sutras.
མདོ་སྡེ་རྣམས་ལས་བསླབ་པ་སྣང་། །,The trainings appear in the sutras.
དེ་བས་མདོ་སྡེ་བཀླག་པར་བྱ། །,"Therefore, one should read the sutras."
ནམ་མཁའི་སྙིང་པོའི་མདོ་སྡེ་ནི། །ཐོག་མ་ཉིད་དུ་བལྟ་བར་བྱ། །,The Sutra of the Essence of Space<br>Should be viewed first and foremost.
གང་ཕྱིར་རྟག་ཏུ་སྤྱད་པ་ནི། །དེ་ལས་རྒྱ་ཆེར་རབ་སྟོན་པས། །བསླབ་པ་ཀུན་ལས་བཏུས་པ་ཡང་། །ངེས་པར་ཡང་དང་ཡང་དུ་བལྟ། །,"Because it is always practiced,<br>It is extensively taught from that.<br>The compendium of all trainings<br>Should certainly be examined again and again."
ཡང་ན་རེ་ཞིག་མདོར་བསྡུས་པའི། །མདོ་རྣམས་ཀུན་ལས་བཏུས་པ་བལྟ། །,"Alternatively, for now in brief,<br>Look at the collection extracted from all sutras."
འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པའི། །གཉིས་པོའང་འབད་པས་བལྟ་བར་བྱ། །,These two [teachings] composed by the noble Nagarjuna<br>Should be studied with diligence.
གང་ལས་གང་ནི་མ་བཀག་པ། །དེ་ཉིད་སྤྱད་པར་བྱ་བ་སྟེ། །,"Whatever is not prohibited,<br>That itself is to be practiced."
